word_esp,word_rus,other_rus,category,level
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
leche,молоко,"вода,сок,чай",Профессии,средний
tren,поезд,"машина,автобус,метро",Природа,продвинутый
mesa,стол,"стул,шкаф,диван",Природа,средний
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
doctor,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
tren,поезд,"машина,автобус,метро",Дом и быт,средний
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
sol,солнце,"луна,звезда,облако",Овощи и фрукты,средний
luna,луна,"планета,солнце,комета",Профессии,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Части тела,продвинутый
falda,юбка,"брюки,платье,шорты",Одежда,продвинутый
avión,самолёт,"поезд,машина,метро",Части тела,продвинутый
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
doctor,врач,"учитель,пекарь,инженер",Профессии,продвинутый
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
alegría,радость,"печаль,злость,спокойствие",Дом и быт,средний
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Транспорт,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
flor,цветок,"листва,куст,дерево",Животные,начальный
sol,солнце,"луна,звезда,облако",Транспорт,средний
hierba,трава,"листва,цветок,дерево",Животные,продвинутый
vestido,платье,"юбка,блузка,рубашка",Одежда,начальный
montaña,гора,"река,озеро,лес",Дом и быт,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
montaña,гора,"река,озеро,лес",Одежда,средний
correr,бежать,"прыгать,идти,ползти",Природа,средний
perro,собака,"кошка,мышь,тигр",Одежда,средний
leche,молоко,"вода,сок,чай",Одежда,продвинутый
tren,поезд,"машина,автобус,метро",Глаголы действия,средний
luna,луна,"планета,солнце,комета",Части тела,продвинутый
avión,самолёт,"поезд,машина,метро",Животные,средний
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
luna,луна,"планета,солнце,комета",Глаголы действия,средний
leche,молоко,"вода,сок,чай",Эмоции,средний
mar,море,"океан,озеро,река",Одежда,средний
perro,собака,"кошка,мышь,тигр",Овощи и фрукты,начальный
flor,цветок,"листва,куст,дерево",Дом и быт,средний
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
mar,море,"океан,озеро,река",Части тела,средний
leche,молоко,"вода,сок,чай",Природа,средний
volar,летать,"ходить,прыгать,катиться",Одежда,средний
perro,собака,"кошка,мышь,тигр",Одежда,начальный
emoción,эмоция,"чувство,ощущение,переживание",Овощи и фрукты,начальный
avión,самолёт,"поезд,машина,метро",Животные,продвинутый
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
falda,юбка,"брюки,платье,шорты",Эмоции,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Дом и быт,средний
pantalón,брюки,"шорты,юбка,джинсы",Глаголы действия,средний
caballo,лошадь,"осёл,верблюд,корова",Дом и быт,средний
avión,самолёт,"поезд,машина,метро",Одежда,продвинутый
alegría,радость,"печаль,злость,спокойствие",Глаголы действия,продвинутый
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
nadar,плавать,"нырять,летать,ползти",Животные,начальный
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
hierba,трава,"листва,цветок,дерево",Эмоции,продвинутый
volar,летать,"ходить,прыгать,катиться",Эмоции,средний
doctor,врач,"учитель,пекарь,инженер",Овощи и фрукты,продвинутый
profesor,учитель,"врач,инженер,продавец",Глаголы действия,средний
árbol,дерево,"куст,цветок,трава",Части тела,начальный
pan,хлеб,"масло,сыр,булка",Одежда,начальный
hierba,трава,"листва,цветок,дерево",Овощи и фрукты,средний
sol,солнце,"луна,звезда,облако",Одежда,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Дом и быт,средний
montaña,гора,"река,озеро,лес",Эмоции,начальный
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
sol,солнце,"луна,звезда,облако",Одежда,средний
perro,собака,"кошка,мышь,тигр",Глаголы действия,средний
coche,машина,"велосипед,мотоцикл,поезд",Животные,начальный
sol,солнце,"луна,звезда,облако",Животные,начальный
emoción,эмоция,"чувство,ощущение,переживание",Одежда,средний
correr,бежать,"прыгать,идти,ползти",Профессии,средний
hierba,трава,"листва,цветок,дерево",Овощи и фрукты,продвинутый
tren,поезд,"машина,автобус,метро",Эмоции,средний
volar,летать,"ходить,прыгать,катиться",Эмоции,средний
hierba,трава,"листва,цветок,дерево",Природа,средний
hierba,трава,"листва,цветок,дерево",Овощи и фрукты,продвинутый
tristeza,грусть,"радость,злость,удивление",Овощи и фрукты,средний
leche,молоко,"вода,сок,чай",Профессии,средний
leche,молоко,"вода,сок,чай",Эмоции,начальный
caballo,лошадь,"осёл,верблюд,корова",Овощи и фрукты,средний
profesor,учитель,"врач,инженер,продавец",Животные,продвинутый
vestido,платье,"юбка,блузка,рубашка",Транспорт,средний
hierba,трава,"листва,цветок,дерево",Овощи и фрукты,начальный
flor,цветок,"листва,куст,дерево",Дом и быт,начальный
emoción,эмоция,"чувство,ощущение,переживание",Животные,средний
pantalón,брюки,"шорты,юбка,джинсы",Животные,начальный
perro,собака,"кошка,мышь,тигр",Природа,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Части тела,начальный
hierba,трава,"листва,цветок,дерево",Одежда,продвинутый
perro,собака,"кошка,мышь,тигр",Животные,начальный
ingeniero,инженер,"врач,учитель,строитель",Части тела,средний
perro,собака,"кошка,мышь,тигр",Эмоции,продвинутый
perro,собака,"кошка,мышь,тигр",Транспорт,продвинутый
zapato,туфля,"ботинок,кроссовок,сандалия",Овощи и фрукты,продвинутый
pan,хлеб,"масло,сыр,булка",Глаголы действия,продвинутый
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,средний
hierba,трава,"листва,цветок,дерево",Дом и быт,начальный
tren,поезд,"машина,автобус,метро",Профессии,продвинутый
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
mesa,стол,"стул,шкаф,диван",Глаголы действия,начальный
caballo,лошадь,"осёл,верблюд,корова",Дом и быт,начальный
ingeniero,инженер,"врач,учитель,строитель",Эмоции,средний
montaña,гора,"река,озеро,лес",Транспорт,продвинутый
doctor,врач,"учитель,пекарь,инженер",Животные,продвинутый
sol,солнце,"луна,звезда,облако",Природа,начальный
queso,сыр,"молоко,хлеб,творог",Дом и быт,средний
doctor,врач,"учитель,пекарь,инженер",Овощи и фрукты,начальный
leche,молоко,"вода,сок,чай",Глаголы действия,продвинутый
queso,сыр,"молоко,хлеб,творог",Одежда,начальный
mesa,стол,"стул,шкаф,диван",Одежда,продвинутый
caballo,лошадь,"осёл,верблюд,корова",Овощи и фрукты,продвинутый
mesa,стол,"стул,шкаф,диван",Дом и быт,средний
flor,цветок,"листва,куст,дерево",Дом и быт,начальный
perro,собака,"кошка,мышь,тигр",Животные,продвинутый
profesor,учитель,"врач,инженер,продавец",Природа,средний
hierba,трава,"листва,цветок,дерево",Эмоции,средний
doctor,врач,"учитель,пекарь,инженер",Одежда,продвинутый
